[1732813332.472474161] PING 172.16.2.240 (172.16.2.240) 56(84) bytes of data.
[1732813457.676454882] 64 bytes from 172.16.2.240: icmp_seq=126 ttl=59 time=81.5 ms
[1732813458.698563075] 64 bytes from 172.16.2.240: icmp_seq=127 ttl=59 time=102 ms
[1732813459.697658371] 64 bytes from 172.16.2.240: icmp_seq=128 ttl=59 time=98.7 ms
[1732813460.700071036] 64 bytes from 172.16.2.240: icmp_seq=129 ttl=59 time=97.3 ms
[1732813461.660842395] 64 bytes from 172.16.2.240: icmp_seq=130 ttl=59 time=58.0 ms
[1732813462.674247794] 64 bytes from 172.16.2.240: icmp_seq=131 ttl=59 time=70.7 ms
[1732813463.664215865] 64 bytes from 172.16.2.240: icmp_seq=132 ttl=59 time=59.8 ms
[1732813464.688282081] 64 bytes from 172.16.2.240: icmp_seq=133 ttl=59 time=82.0 ms
[1732813465.656274772] 64 bytes from 172.16.2.240: icmp_seq=134 ttl=59 time=45.7 ms
[1732813466.686842402] 64 bytes from 172.16.2.240: icmp_seq=135 ttl=59 time=74.8 ms
[1732813467.710049859] 64 bytes from 172.16.2.240: icmp_seq=136 ttl=59 time=93.8 ms
[1732813468.702757147] 64 bytes from 172.16.2.240: icmp_seq=137 ttl=59 time=83.8 ms
[1732813469.698192510] 64 bytes from 172.16.2.240: icmp_seq=138 ttl=59 time=78.0 ms
[1732813470.749163234] 64 bytes from 172.16.2.240: icmp_seq=139 ttl=59 time=128 ms
[1732813471.687140991] 64 bytes from 172.16.2.240: icmp_seq=140 ttl=59 time=64.9 ms
[1732813472.685586943] 64 bytes from 172.16.2.240: icmp_seq=141 ttl=59 time=61.9 ms
[1732813473.705473226] 64 bytes from 172.16.2.240: icmp_seq=142 ttl=59 time=81.8 ms
[1732813474.701658224] 64 bytes from 172.16.2.240: icmp_seq=143 ttl=59 time=76.0 ms
[1732813475.700547733] 64 bytes from 172.16.2.240: icmp_seq=144 ttl=59 time=74.0 ms
[1732813476.712364735] 64 bytes from 172.16.2.240: icmp_seq=145 ttl=59 time=85.6 ms
[1732813477.706578584] 64 bytes from 172.16.2.240: icmp_seq=146 ttl=59 time=78.9 ms
[1732813478.700467731] 64 bytes from 172.16.2.240: icmp_seq=147 ttl=59 time=71.5 ms
[1732813479.709721459] 64 bytes from 172.16.2.240: icmp_seq=148 ttl=59 time=79.0 ms
